seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12726,714861,1,43489151,94,Harrison Howe (Stirling Albion) Yellow Card at 15',Harrison Howe Yellow Card,1,900,15',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,374509.0,Harrison Howe,2024-08-04 09:28:16
12726,714861,2,43489220,94,Callum Crane (Stirling Albion) Yellow Card at 45',Callum Crane Yellow Card,1,2700,45',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,223317.0,Callum Crane,2024-08-04 09:28:16
12726,714861,3,43489269,76,Aaron Weir (Stirling Albion) Substitution at 45',Aaron Weir Substitution,2,2700,45',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,383917.0,Aaron Weir,2024-08-04 09:28:16
12726,714861,3,43489269,76,Aaron Weir (Stirling Albion) Substitution at 45',Aaron Weir Substitution,2,2700,45',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,374509.0,Harrison Howe,2024-08-04 09:28:16
12726,714861,4,43489360,76,Cameron Mckinlay (Stirling Albion) Substitution at 57',Cameron Mckinlay Substitution,2,3420,57',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,338846.0,Cameron Mckinlay,2024-08-04 09:28:16
12726,714861,4,43489360,76,Cameron Mckinlay (Stirling Albion) Substitution at 57',Cameron Mckinlay Substitution,2,3420,57',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,355466.0,Harley Ewen,2024-08-04 09:28:16
12726,714861,5,43489385,76,Kodi Mckinstray (Edinburgh City) Substitution at 62',Kodi Mckinstray Substitution,2,3720,62',2832,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,347005.0,Kodi Mckinstray,2024-08-04 09:28:16
12726,714861,5,43489385,76,Kodi Mckinstray (Edinburgh City) Substitution at 62',Kodi Mckinstray Substitution,2,3720,62',2832,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,330004.0,Shea Scally,2024-08-04 09:28:16
12726,714861,6,43489414,70,Connor Young (Edinburgh City) Goal at 67',Connor Young Goal,2,4020,67',2832,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,312026.0,Connor Young,2024-08-04 09:28:16
12726,714861,7,43489461,94,Bailey Dall (Stirling Albion) Yellow Card at 71',Bailey Dall Yellow Card,2,4260,71',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,345984.0,Bailey Dall,2024-08-04 09:28:16
12726,714861,8,43489521,76,Cooper Knox (Stirling Albion) Substitution at 77',Cooper Knox Substitution,2,4620,77',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,347282.0,Cooper Knox,2024-08-04 09:28:16
12726,714861,8,43489521,76,Cooper Knox (Stirling Albion) Substitution at 77',Cooper Knox Substitution,2,4620,77',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,345984.0,Bailey Dall,2024-08-04 09:28:16
12726,714861,9,43489592,70,Joshua Kerr (Stirling Albion) Goal at 86',Joshua Kerr Goal,2,5160,86',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,229005.0,Joshua Kerr,2024-08-04 09:28:16
12726,714861,10,43489633,70,Dale Carrick (Stirling Albion) Goal at 90',Dale Carrick Goal,2,5400,90',417,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,176836.0,Dale Carrick,2024-08-04 09:28:16
12726,714862,1,43489389,94,Andrew McCarthy (Peterhead) Yellow Card at 60',Andrew McCarthy Yellow Card,2,3600,60',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,239269.0,Andrew McCarthy,2024-08-04 09:28:16
12726,714862,2,43489423,94,Kieran Sommerville (Bonnyrigg Rose) Yellow Card at 65',Kieran Sommerville Yellow Card,2,3900,65',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,224288.0,Kieran Sommerville,2024-08-04 09:28:16
12726,714862,3,43489424,76,Ben Armour (Peterhead) Substitution at 65',Ben Armour Substitution,2,3900,65',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,193442.0,Ben Armour,2024-08-04 09:28:16
12726,714862,4,43489425,76,Sebastian Ross (Peterhead) Substitution at 65',Sebastian Ross Substitution,2,3900,65',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,239223.0,Sebastian Ross,2024-08-04 09:28:16
12726,714862,3,43489424,76,Ben Armour (Peterhead) Substitution at 65',Ben Armour Substitution,2,3900,65',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,255732.0,Jack Brown,2024-08-04 09:28:16
12726,714862,4,43489425,76,Sebastian Ross (Peterhead) Substitution at 65',Sebastian Ross Substitution,2,3900,65',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,57727.0,Rory McAllister,2024-08-04 09:28:16
12726,714862,5,43489444,76,Dean Watson (Bonnyrigg Rose) Substitution at 67',Dean Watson Substitution,2,4020,67',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,275907.0,Dean Watson,2024-08-04 09:28:16
12726,714862,5,43489444,76,Dean Watson (Bonnyrigg Rose) Substitution at 67',Dean Watson Substitution,2,4020,67',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,375257.0,Ben Scarborough,2024-08-04 09:28:16
12726,714862,6,43489495,76,Cameron Smith (Peterhead) Substitution at 72',Cameron Smith Substitution,2,4320,72',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,173126.0,Cameron Smith,2024-08-04 09:28:16
12726,714862,6,43489495,76,Cameron Smith (Peterhead) Substitution at 72',Cameron Smith Substitution,2,4320,72',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,239269.0,Andrew McCarthy,2024-08-04 09:28:16
12726,714862,7,43489529,76,Keiran Mcgachie (Bonnyrigg Rose) Substitution at 75',Keiran Mcgachie Substitution,2,4500,75',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,249014.0,Keiran Mcgachie,2024-08-04 09:28:16
12726,714862,7,43489529,76,Keiran Mcgachie (Bonnyrigg Rose) Substitution at 75',Keiran Mcgachie Substitution,2,4500,75',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,107564.0,Kallum Higginbotham,2024-08-04 09:28:16
12726,714862,8,43489530,76,Owen Waddell (Bonnyrigg Rose) Substitution at 76',Owen Waddell Substitution,2,4560,76',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,366797.0,Owen Waddell,2024-08-04 09:28:16
12726,714862,8,43489530,76,Owen Waddell (Bonnyrigg Rose) Substitution at 76',Owen Waddell Substitution,2,4560,76',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,312345.0,Bradley Barrett,2024-08-04 09:28:16
12726,714862,9,43489602,94,Keiran Mcgachie (Bonnyrigg Rose) Yellow Card at 84',Keiran Mcgachie Yellow Card,2,5040,84',10605,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,249014.0,Keiran Mcgachie,2024-08-04 09:28:16
12726,714862,10,43489632,76,Danny Strachan (Peterhead) Substitution at 87',Danny Strachan Substitution,2,5220,87',416,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,292263.0,Danny Strachan,2024-08-04 09:28:16
