seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12993,2024,IND.2,22070,268004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-21 04:47:44
12993,2024,IND.2,22070,268006,24,2,0,0,8,0,0,0,0,0,0,0,0,0,31,2025-03-20 04:46:39
12993,2024,IND.2,22071,268006,24,2,0,0,8,0,0,0,0,0,0,0,0,0,31,2025-03-21 04:47:45
12993,2024,IND.2,22473,268040,19,0,0,0,2,0,1,1,0,0,0,0,0,0,27,2025-03-21 04:47:44
12993,2024,IND.2,21311,268048,9,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2025-03-21 04:47:47
12993,2024,IND.2,22071,268050,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,18895,268058,8,0,0,0,3,0,0,0,0,0,0,0,0,0,12,2025-03-21 04:47:43
12993,2024,IND.2,21312,268060,3,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2025-03-21 04:47:45
12993,2024,IND.2,21312,268068,11,9,0,0,0,0,0,0,0,1,1,1,0,0,8,2025-03-21 04:47:45
12993,2024,IND.2,22071,268069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,22071,268076,16,3,0,0,1,0,0,0,0,0,0,0,0,0,14,2025-03-21 04:47:45
12993,2024,IND.2,22069,268078,17,1,0,0,3,0,0,0,0,0,0,0,0,0,18,2025-03-21 04:47:45
12993,2024,IND.2,21312,268079,16,0,0,0,5,0,1,2,0,1,1,1,0,0,13,2025-03-21 04:47:45
12993,2024,IND.2,18896,268251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,18896,268266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-21 04:47:45
12993,2024,IND.2,22069,268272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,21311,268274,15,1,0,0,1,0,0,4,0,0,0,0,0,0,22,2025-03-21 04:47:47
12993,2024,IND.2,21311,268293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-03-21 04:47:47
12993,2024,IND.2,18896,268296,15,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2025-03-21 04:47:45
12993,2024,IND.2,21312,268311,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2025-03-21 04:47:45
12993,2024,IND.2,22472,268315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:46
12993,2024,IND.2,22071,268323,14,2,0,0,2,0,0,0,0,0,0,0,0,0,13,2025-03-21 04:47:45
12993,2024,IND.2,21311,268356,19,5,0,0,0,0,0,0,0,2,2,2,0,0,20,2025-03-21 04:47:47
12993,2024,IND.2,18896,268363,14,2,0,0,1,0,0,3,0,0,0,0,0,0,13,2025-03-21 04:47:45
12993,2024,IND.2,18898,268387,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-21 04:47:46
12993,2024,IND.2,21312,268390,5,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-03-21 04:47:45
12993,2024,IND.2,8896,268406,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:44
12993,2024,IND.2,18895,268417,12,3,0,0,2,0,0,2,0,1,1,1,0,0,17,2025-03-21 04:47:43
12993,2024,IND.2,18898,268420,18,0,0,0,4,0,0,2,0,0,0,0,0,0,31,2025-03-21 04:47:46
12993,2024,IND.2,18898,268421,15,0,0,0,4,1,0,0,0,1,1,1,0,0,22,2025-03-21 04:47:46
12993,2024,IND.2,22070,268423,13,7,0,0,0,0,0,1,0,0,0,0,0,0,15,2025-03-21 04:47:44
12993,2024,IND.2,18896,268480,13,1,0,0,4,0,0,0,0,0,0,0,0,0,14,2025-03-21 04:47:45
12993,2024,IND.2,18896,268486,15,2,0,0,3,0,0,1,0,1,1,1,0,0,11,2025-03-21 04:47:45
12993,2024,IND.2,18896,268488,13,9,0,0,0,0,0,0,0,1,1,1,0,0,4,2025-03-21 04:47:45
12993,2024,IND.2,18896,268502,4,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2025-03-21 04:47:45
12993,2024,IND.2,22070,268503,5,2,0,0,0,1,0,0,0,0,0,0,0,0,8,2025-03-21 04:47:44
12993,2024,IND.2,21312,268508,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-21 04:47:45
12993,2024,IND.2,18898,268509,17,1,0,0,5,0,0,4,0,2,2,2,0,0,27,2025-03-21 04:47:46
12993,2024,IND.2,22069,268564,16,3,0,0,1,0,0,3,0,4,4,4,0,0,24,2025-03-21 04:47:45
12993,2024,IND.2,18898,269091,16,9,0,0,2,0,0,1,0,0,0,0,0,0,13,2025-03-21 04:47:46
12993,2024,IND.2,18898,269632,18,0,0,0,3,1,0,1,0,4,4,4,0,0,36,2025-03-21 04:47:46
12993,2024,IND.2,21311,270383,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2025-03-21 04:47:47
12993,2024,IND.2,21311,280518,16,2,0,0,2,0,0,7,0,5,5,5,0,0,25,2025-03-21 04:47:47
12993,2024,IND.2,21312,280536,6,1,0,0,1,0,0,0,0,4,4,4,0,0,4,2025-03-21 04:47:45
12993,2024,IND.2,21311,280603,14,6,0,0,2,0,0,0,0,0,0,0,0,0,10,2025-03-21 04:47:47
12993,2024,IND.2,21312,280606,14,4,0,0,2,0,0,1,0,3,3,3,0,0,16,2025-03-21 04:47:45
12993,2024,IND.2,22070,281356,7,4,0,0,0,0,0,1,0,0,0,0,0,0,8,2025-03-21 04:47:44
12993,2024,IND.2,22473,282497,9,4,0,0,0,0,0,0,0,0,0,0,0,0,11,2025-03-21 04:47:44
12993,2024,IND.2,22070,282500,12,4,0,0,2,0,0,1,0,0,0,0,0,0,13,2025-03-21 04:47:44
12993,2024,IND.2,8896,282501,19,0,0,0,2,0,0,1,0,2,2,2,0,0,19,2025-03-21 04:47:44
12993,2024,IND.2,22069,282509,14,11,0,0,0,0,0,0,0,2,2,2,0,0,6,2025-03-21 04:47:45
12993,2024,IND.2,22472,282518,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2025-03-21 04:47:46
12993,2024,IND.2,8896,282523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:44
12993,2024,IND.2,18896,282539,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-21 04:47:45
12993,2024,IND.2,22070,282552,10,2,0,0,1,1,0,0,0,0,0,0,0,0,19,2025-03-21 04:47:44
12993,2024,IND.2,18898,282555,19,3,0,0,2,0,0,2,0,5,5,5,0,0,37,2025-03-21 04:47:46
12993,2024,IND.2,19341,282653,13,0,0,0,2,0,0,0,0,1,1,1,0,0,17,2025-03-21 04:47:46
12993,2024,IND.2,22070,283202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2025-03-21 04:47:44
12993,2024,IND.2,19341,283210,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-03-21 04:47:46
