seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12647,2024,KSA.KINGS.CUP,21835,218120,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,18459,219003,1,0,1,1,1,0,0,0,0,2,3,1,0,0,1,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21829,219233,1,1,2,1,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,7131,219458,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,22028,219606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:05
12647,2024,KSA.KINGS.CUP,21828,223376,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,18459,224789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,22023,226630,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,22278,227249,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,21965,227417,1,0,1,1,0,0,0,0,0,1,2,1,0,0,1,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22279,228144,1,0,0,1,0,0,0,0,0,0,0,0,0,7,1,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,22029,228422,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,13033,230430,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,21446,230838,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,22024,231327,1,0,3,4,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22280,232442,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:00
12647,2024,KSA.KINGS.CUP,22028,232803,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:05
12647,2024,KSA.KINGS.CUP,22022,233075,1,0,0,0,0,0,0,1,0,2,5,2,0,0,1,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,18459,233809,1,0,3,1,0,0,0,0,0,1,4,1,0,0,2,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,22278,234806,1,0,4,1,1,0,0,0,0,0,4,0,0,0,3,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,8363,236088,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22023,236102,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21831,237781,1,0,4,2,1,0,0,0,0,1,3,1,0,0,2,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,21834,238259,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,22280,238274,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2024-10-13 05:11:00
12647,2024,KSA.KINGS.CUP,8346,238362,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,21964,239286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,21832,239295,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,22278,239795,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,13033,240451,1,0,2,2,1,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,2276,241116,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,817,243630,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21965,243928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,21828,243930,1,0,5,1,1,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,21835,243955,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,21966,243957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,929,245858,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,2024-10-13 05:10:55
